name,content
"【曼哈顿|3Times 茅庐】小笼包大师重出江湖!吉祥八宝饭特供还送红包?在纽约的上海伢儿,都来这过年","['每逢佳节倍思亲思念着家乡的地道风味春节眼看就要来临地图心心念念想的都是小时候巷口小吃铺子里热气腾腾的蒸笼掀开屉布满满当当的沪上小吃 还有一些地道的小炒', '有句话说得有趣：“大上海，品小吃。” 魔都里的人间至味浓郁乡愁就在藏满大厨小心思的精致小吃里！蟹粉小笼/杂粮小笼/糯肉烧卖小巧竹屉蒸出地道沪上美味', '一客地道鲜美的小食下肚敞开胃口，继续尝鲜——鲜肉月饼为地道苏式糕点点睛南京盐水鸭卤香四溢更有脆皮黄鱼卷/上海春卷/萝卜丝饼传统手艺+诚挚匠心专属冬日的食色沪味就要这份走胃走心的暖意！', '脆皮黄鱼卷鸡汤虾肉小馄饨鲜肉月饼南京盐水鸭南方鲜肉大包', '过年了整点硬菜！色泽红亮整坛呈上的东坡肉招牌红烧牛肉面/雪菜肉丝汤面热气腾腾中酿出浓浓家常好味', '新春特别福利还送吉祥八宝饭和红包哦！', '3Times 茅庐 (Union Square)推荐程度：****人均：$15-20地址：818 Broadway, New York, NY 10003电话：646-609-3040营业时间：Sun-Thurs 11:00am-10:00pm       Fri-Sat 11:00am-11:00pm', '3Times 茅庐 (Downtown) 推荐程度：****人均：$10-20地址：90-96 Clinton St, New York, NY 10002电话：646-609-6324营业时间：Sun-Thurs 11:00am-10:00pm       Fri-Sat 11:00am-11:00pm', '随时随地查询更多美食信息']"
【新冠疫情】新泽西第1例来了!纽约确诊11例!通勤/在家如何自测防护？,"['最近一周，“新冠肺炎”在美国的蔓延愈演愈烈，截止刚刚 8：46pm 3/4/20，新州州长 Phil Murphy，刚刚发布一则消息:', '宣布新泽西第一例\xa0Coronavirus case', 'Presumed Positive', '据有关消息称，患者是一名30岁的年轻男子，于 3/3 晚住进 Bergen County 的一间医院，而检测由新州卫生局疾控部门，New Jersey Department of Health and Centers fo Disease Control 完成，检测结果随后会交由 Centers of Disease Control for “Confirmatory Testing”, 因此可以理解为，confirmed positive 和 presumed positive 只是简单手续上的差别，几乎是已经 confirmed 的疑似确诊 case 了！', '州长同时号召大家不要恐慌，州政府为此次疫情已有序展开防护工作数州，希望新州居民不要引起恐慌，保持镇定。', '而紧邻NJ的纽约市，最近也日渐紧张。短短三天，纽约市已经从确诊1例上升至11例，其中还出现一例高度可能性的社区传播，该患者住在 Westchester，在曼岛工作，并没有中国或其他已暴发疫情国家的旅行史。', '截止今日3/4/20，该确诊病人已经传染9名新增病例，一家四口以及接车邻居和，邻居的一家五口纷纷中招，截止美东时间17时，纽约确诊人数以及上升至11例！还不包括一例严重疑似的高中教师！', '与此同时，全美共有加州今天第一例确诊病例死亡旧金山也在48小时之内确诊6例之后也宣布进入紧急状态以下是纽约时报的全美疫情实时地图', 'Coronavirus cases in the United States', '相关来源：https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html', '指北君了解好多住在新泽西的居民很多在曼哈顿工作通勤成为每天都避不开的超大接触面虽然有大量的试剂盒已经下放到各州但CDC今天表示不再更新确诊数字了。。那么如何实时观测疫情进展以及做好自身在家的防护和自测？指北君给大家整理了相关信息', '最佳实时疫情地图检测网站', 'https://coronavirus.1point3acres.com/强烈安利这个中文疫情监测网站信息分类齐全、详细实时报道更新速度快还有相关的讨论和辅助信息', '疫情数据、统计数据和地图都有有中英文版本的转换', '每天乘坐 NJ TRANSIT，出入 PENN STATION。几百万的人流量来自和通向纽约四面八方，指北君建议：如果可以错峰出行，选择非 TRAFFIC HOUR 时段乘车。如果不能，那么上下车尽量选择不与人肢体接触，常备 hand sanitizer 消毒，如果条件允许的话佩戴口罩。回到家将外衣放置指定处做好衣物隔离。勤洗手。', '1. It is pretty large in size (cell is about 400-500nm diameter), so any normal mask (not just the N95 feature) should be able to filter it out. However, when someone who’s infected sneezes in front of you, it will take a great 3 meters (about 10 feet) before it drops to the ground and is no longer airborne. ', '1. 病毒細胞直径大約400-500納米，任何正常口罩（不一定是N95类型）都可以將病毒細胞过滤出去。當感染者在你面前打噴嚏，病毒細胞会经过橫向距离为3米的拋物线落在地上，之後才會不经过空气传播。', '2. When the virus drops on metal surface, it will live for at least 12 hours. So remember if you come in contact with any metal surface, wash your hands with soap thoroughly.\xa0', '2. 当病毒细胞落在金属表面后会存活12个小時。所以如果你触碰了金属表面的話，请记得认真用肥皂或者洗手液洗手。除了勤洗手之外，還可以用漱口水漱口，这样可以殺死或者減少存留在喉咙里的病菌，防止起落入肺部引起肺炎。', '3. The virus can remain active on fabric for 6-12 hours. Normal laundry detergent should kill the virus. For winter clothing that does not require daily washing, you can put it out under the sun to kill the virus.\xa0', '3. 病毒在布料上可以存活6到12個小時。普通的洗衣液即可杀死病毒。如果是在衣物无需每天清洗的冬天，將衣服放在太陽下晒一晒可以有助於殺死病毒。', '指北君将会第一时间给大家带来疫情相关信息也希望各位北鼻们在此特殊时期放松心情，不要引起过度的焦虑或恐慌注意 VC 的摄取，提高抵抗力！等到春暖花开的时节，一切都会过去哒！一起加油！']"
"【Bruce Cost Ginger Ale 真姜乐天然饮料】非常时期,美国”神水” VS 中式凉茶,你囤哪种？","['美国”神水”来了，还是 hin 高级的那种 – 真姜乐\xa0Bruce Cost Ginger Ale\xa0', '据说”新冠”之下全世界各地人民都形成了一股疯抢狂潮并且极具地域特色自从日本人开始抢购花岗岩之后印尼最近又爆发一轮抢购生姜的狂潮', '而随着美国疫情逐渐紧张淡定的美国人最多也就囤囤卫生纸？这是什么骚操作！淡定的美国人对于抢生姜这种做派从来是不屑一顾的因为他们坚信一款美国家庭人手必备的', '神仙水', '真姜乐\xa0Bruce Cost Ginger Ale\xa0', 'Ginger Ale 对于美国人来说好比藿香正气水之于我们的存在晕船晕车，喝 Ginger Ale感冒风寒，喝 Ginger Ale而我大 BK 竟然还有一间独特秘方纯天然手工精酿的Ginger Ale每一瓶都有真正姜蓉融合兼顾 6 种不同果味Whole Foods 和 Trader Joe’s经常卖断货！', '还有最新推出超多款适合超级时期家里必备多款茶饮多种优质中草药 + 传统古方精细工艺熬煮而出的古方凉茶、夏枯草、洛神花茶、黑糖姜母茶雪梨菊花茶、山楂茶特饮等等全部产品美国制造真材实料绝无防腐剂和添加剂有机超市直接都能买到超放心的优质茶饮特别适合冬春交接的现在喝提高身体抵抗力简直棒棒哒！', 'Bruce Cost Ginger Ale\xa0真姜乐天然饮料', '推荐指数：****人均：$1.5–$3/瓶网站：www.brucecostgingerale.comEmail：[email\xa0protected]购买途径：Whole Foods/Trader Joe’s/Hmart/Fairway各大华人超市都可以买到扫码可以关注哦', '随时随地查询更多美食信息']"
【法拉盛|杏胡里 · 好久不见】最美”空中花园大排档”回归!海鲜烧烤川菜超全!还送66瓶啤酒!,"['夏天最让人期待的就是在晚风中喝点儿小酒和三五老友一起撸串麻小侃大山本以为今夏与酱婶的生活无缘没想到法拉盛人气大排档高调回归超大空中花园等你相约', '还记得全纽约独家的纸包牛蛙吗？『好久不见』这次延续创新风格除了有种类繁多的烤串还带来一系列超强的排档菜有多强！？跟着地图君看下去就知道啦', '杏胡里 ·\xa0好久不见', '推荐程度：****人均：$30-40电话：（718）888-1669地址：133-42 39 Ave, Ste #210Flushing, NY 11354(川山甲旁电梯按2楼,楼梯上3楼,左侧即是好久不见）营业时间Mon-Sun12PM–11PM', '扫码成为VIP客户，福利更多哦', '无接触二维码点餐自取/外卖', '一提到大排档大家的印象往往都是喧闹的市场处处充满着吆喝声', '上楼再那么一转突然间一处桃源之地跳入眼前开阔、静谧、安逸全都展现的淋漓无余', '不仅外观美，面积大就连观景视野也是极好趁着日落时分坐在这儿看着太阳一点点落下实在是非常惬意', '『好久不见』严格遵守相关规定桌子间隔均按照6 feet的距离设置每桌客人用餐结束后立刻进行消毒工作人员全部佩戴PPE上岗工作采用二维码点餐 无接触更放心', '秘制纸包牛蛙\xa0$48.95', '鲜活麻辣小龙虾\xa0$19.95', '手抓海鲜', '干锅鸭头/虾\xa0$38.95', '烤羊肉串\xa0$8.74 / 5串', '“好久不见”位于法拉盛，地铁7号线Main St站下车后步行7分钟即可到达。开车也是非常方便，法拉盛最大的公共停车场就在旁边。', '即日起为期一个月7/1/20–7/31/20I.地图粉转发此文并集18个赞，即送66瓶啤酒！对的你没看错（单次消费限半打,有效期3个月）II.持好久不见vip卡，皆可全单享会员价（进店领取即可）', 'VIP卡可在多家 KTV + 奶茶店享受VIP折扣！数量有限，先到先得哦', '随时随地查询更多美食信息']"
"【法拉盛|一号食堂】疫情之下大厨变了?不好好炒菜,新创12款炒饭却更火?!","['“ 一起爬山吗？”不了不了毕竟世界险恶小地图还是觉得一个人爬山比较安心', '最近票圈每天都在被秦昊刷屏“演技炸裂”“每根眼睫毛都有戏”老秦电影级别的演技早在《沙海》中就体现的淋漓尽致说到沙海吃货们一定对这厮印象深刻那就是—-“青椒肉丝炒饭”', '炒饭对于很多人来说不仅仅是”凑合“有这样一位大厨在疫情期间每天闭门研究新菜终于在试验无数次之后首创一气呵成创新炒饭系列更适合外卖打包宅家屯打赌你绝对没吃过~', '功夫肥牛、香辣鸡胗、红烧肉肥肠、麻辣腰花、孜然羊肉咸蛋黄土豆丝、黑胡椒牛肉、鱼香肉丝这儿既有炒饭的老搭档也有炒饭的新朋友还有创新推出的串炒饭等你来翻牌子！', '无论你来自哪里这家卖炒饭的小馆子都能带给你心里那最熟悉的味道', '一号食堂', '推荐程度：****人均：$10-20电话：347-368-4442地址：133-49 Roosevelt aveFlushing, NY 11354疫情期间营业时间：11am – 9pm', '法拉盛地区满$20起送扫码可点外卖喔', '其他地区外卖熊猫外卖APP可点', '自选串（素串$1.5，肉串$1.75） 五串起+白饭$1.5', '乘坐7号线在Main St下车后，步行5分钟即可，十分方便好找！', '走进一号食堂，顿时感受到一股温暖的市井气息扑面而来。木质桌面一尘不染，墙面绘着浓浓生活气息的邻里街巷，明亮的窗户增加了空间感。桌椅之间开阔，完全没有拥挤感，墙壁上的小画，更突出了家的温馨感！', '窗明几净、小吃林立的一号食堂是北方的吃货又多一个食堂好去处，一顿都不能少的面食，这里都有哦！', '即日起为期一个月7/3/20–8/2/20地图粉消费满$20即送爽口凉菜一份每份炒饭都赠送例汤一份哦！', '随时随地查询更多美食信息']"
"【东村|Sanpoutei 三宝亭】日本排名top3″拉面巨头”入驻东村! 鱼汤拉面|手工煎饺|午餐定食太划算,图粉还加肉哦","['听闻纽约特色拉面又迎新宠？', '还有纽约必打卡煎饺？', '地图听闻各位小主欲寻拉面新宠因此火速赶来献上良策加入秘制沙丁鱼干(Niboshi)和新潟酱油做底的超正拉面等你宠幸！还有纽约必打卡煎饺焦脆香嫩此等佳肴在哪里？东村 Sanpoutei！', '鸡骨熬汤醇厚香浓还有为中国人特制的麻婆豆腐拉面麻辣滑嫩，就是家乡味儿~拉面、米饭有新吃法？味道十足颜值超高的沾面三文鱼肉松汤泡饭等你拔草', '纽约必打卡煎饺焦脆香嫩炸煎饺更加焦酥干脆凉拌鸡肉香香甜甜还有炸鸡、叉烧小食解馋新推出的午餐定食应有尽有就怕你吃不到想吃的！', '传统日式拉面馆单人隔间设计搭配大牌日料店里间超大空间一人食、聚餐都可以！拉面新宠等你来打卡哦~', 'Sanpoutei 三宝亭', '推荐程度：****人均：$15-25地址：92 2nd Ave，New York, NY 10003营业时间：Mon-Sun 12:00中午-3:00pm,5:00pm-10:30pm电话: (646) 964-4357', '随时随地查询更多美食信息']"
"【法拉盛丨头一号杂粮煎饼】你命定的外卖小哥,必会带着七彩煎饼来见你！还有臭豆腐|瘦肉丸+送烤肠","['地图君最近对数字麻木了股市大盘蹭蹭蹭宅家上秤昏昏昏非常时期杂粮小吃安排上采用纯有机健康杂粮做的缤纷七彩煎饼安排！火龙果、菠菜、蓝莓、南瓜、小米、玉米等等等等每天采用时令果蔬汁用料混合杂粮制作的高颜值+超营养煎饼纽约独一家！', '为了方便携带除了招牌脆皮煎饼之外还有软煎饼的选择外卖到家也不用担心影响口感还有超多小吃！烤冷面、盐酥鸡、铁板大鱿鱼老北京臭豆腐、台湾烤肠麻辣烫、卤肉饭、米线等等等等', '外卖下单送到家法拉盛地区免费送其他地区可在外卖平台下单', '头一号杂粮煎饼\xa0', '推荐程度：****人均：$5-10地址：136-55 Roosevelt AveFlushing, NY 11354电话：917-459-1669营业时间9:30 am– 8:30pm', '外卖方式法拉盛地区$25起送扫码或电话下单', '外卖平台点单熊猫外卖//Ubereats/外卖/Freshgogo/云板报', '煎饼摊的好不好，面糊是关键！“头一号杂粮煎饼”拜寻国内超多煎饼老师傅，加上自己钻研，终于把杂粮的秘方标准化统一，小米、玉米、绿豆等多种杂粮的MIX，每一份都现点现摊！', '可以单点不同口味的煎饼，也可以来一个至尊mix的彩虹版！配料超级多！薄脆自己做的，满口酥脆；基本配料有鸡蛋、榨菜、黑芝麻、香菜、生菜、葱花！', '还可以加料！土豆丝、豆皮、肉松、辣条！连新奥尔良无骨鸡腿、王中王、台湾烤肠都不在话下！随意搭配！配出一个至尊无敌版超胖煎饼！', '经典的招牌脆皮煎饼！超级酥脆！脆饼也是满口香！特调的酱料咸甜适中，香菜和生菜丝儿一起入口！元气满满的早餐好选择！', '光吃煎饼馃子觉得不过瘾？超多铁板串类给你解馋！比脸大鱿鱼板、鱿鱼须，还有鱿鱼软骨！都是$4.75/串！分量贼大！铁板烤熟之后刷上秘制酱，撒上辣椒粉和芝麻！软Q多汁，有种逛夜市的错觉！', '盐酥鸡、炸鸡爪、炸鸡胗、炸花枝丸等等，超多选择', '外卖点单电话或扫码即可9：30 am–8：30 pm', '地图粉专属福利券到！即日起为期一个月 6/22/20–7/21/20地图粉分享此文到 PYQ 集赞18即送烤肠一根哦（消费$20可兑现）', '随时随地查询更多美食信息', '']"
【法拉盛 | Izakaya MEW】爆火居酒屋落地法拉盛!烧鸟|拉面|关东煮|幸福感飙升,"['Izakaya MEW 居酒屋来了', '曼哈顿中城的日料之光性价比超高日料 Izakaya MEW在日料爱好者的翘首以盼下在法拉盛也有分店了！', '香浓有嚼劲的奶油泡菜乌冬又脆又鲜的Salmon Sashimi Tacos巨多木鱼花和蛋黄酱的煎蛋卷鲜嫩多汁洒满核桃仁的煎茄子 还有只要$10 的午餐定食！每每想起都馋涎欲滴、心头难耐真的是心甘情愿为他家排队！ ', '他家的甜点和饮品也不输专门甜品店！采用宇治抹茶制作的抹茶蕨饼香甜软糯、入口即化还有特制添加柚子汁的冰激凌酸酸甜甜一点也不腻！地图巨爱他家的 Yuzu Calpico柠檬橘子汁的微酸搭配棉花糖的甜是小时候的味道啊~', '不同于曼哈顿店的美式酒吧风法拉盛分店以简洁温柔为主调微微阳光洒在桌上温暖和煦非常适合家人朋友聚餐', '还有专为酒类爱好者准备的吧台地道的日式之味、超高性价比！地图摩拳擦掌准备打卡了！你还等什么！', 'Izakaya MEW', '推荐程度：*****人均：$20-30地址：146-13 Northern Blvd, Flushing, NY 11354营业时间：Lunch:  Mon-Fri 12pm-2:30pmDinner:  Mon-Thu  5pm-9:30pmBrunch:  Sat & Sun 12-2:30pmFri & Sat  5pm-10:30pm,Sun 5pm-9pm电话: (718)886-2255Web: mewnyc.com', '随时随地查询更多美食信息']"
【纽约|新泽西|chowbus】姜虎东\大户屋\BCD豆腐锅送到家?BK/NJ雨露均沾!这个外卖APP开挂了,"['各位纽约老饕们以往纽约夏天什么菜系是你的最爱？韩国烤肉？豆腐锅？鳗鱼饭牛丼？说到这里是不是虎躯一震你有多久没吃超赞日韩料理了？', '地图君秉承一贯撩你必给你超棒解决方案的终极原则向广大吃友终极呼召之前拿下Lady M独家授权全城配送的 chowbus最近又开挂了纽约这些顶尖日韩餐厅全都能在chowbus上点到啦一键下单 直送到家BK/NJ的胖友们竟也能雨露均沾！', '姜虎东烤肉、Turntable、大户屋BCD Tofu、New Wonjo、The Kunjib最新集体入驻 chowbus平时排队2小时的日韩名店现在还能宅家享用不仅安全靠谱品质有保证还能全城任意距离跨区配送更是造福了一众经常徘徊在”边缘地区”不被各种外送资源待见的远距离的吃货们还支持多餐厅拼餐地图粉首单还有$7 off别忘了还有 Lady M 独家授权全城配送赶紧来康康！', 'chowbus\xa0', 'APP 下载：chowbus公众号、安卓APP下载二维码：', '扫码还可撩客服', '纽约曼哈顿全区LIC/罗岛Queens大部分区域布鲁克林 BK 部分地区（新增）8大道及附近新增区域Park Slope 公园坡Sunset Park 日落公园Bay Ridge 湾脊区Bath Beach 巴斯海滩Fort Hamilton 哈密尔顿堡Bensonhurst 本森赫斯特新泽西NJJersey City / HobokenHarrisontips：在app里搜索你的地址即可或扫码加客服微信了解详情外送范围会在不定期更新不在以上区域的馋猫们也可以实时关注一下哦', '即日起地图粉使用 chowbus首单即可享 $7 offcode: FOODMAP7', '随时随地查询更多美食信息']"
【纽约|福园| The Bund】老嗲咸蛋黄肉粽+纽约独家小杨生煎！还有超多冷冻装上海点心等你囤啦,"['一年一度粽子节就在今天！南北甜咸之战将于今日到达顶峰基本看看票圈晒的啥馅儿就能估摸出英雄出处什么？你粽子还没安排？表急往下看', '除了当家咸蛋黄肉粽、上海大肉粽还有前段时间让老美惊艳连 Eater 都大肆报道的上海小笼\\小杨生煎终于复工啦！除了可以自取/外卖现在还有超多冷冻装让你带回家！', '就是那家前不久和大家安利过的福园! 入主Astoria和森林小丘共两家店！从90年在上海一个小洋房开起的本帮小吃餐厅，到现在成为全上海最佳会所之一，被魔都人民封为教科书般存在的老上海餐厅。老板来到纽约后花了整整两年，经过无数次试验，最终研究出上海小杨生煎的制作过程。短短半年，福园小吃的生煎受到了周围群众的关注现在成为了店里的最佳产品。', '前方高能！！纯手工制作的老上海味道小吃/点心/菜品在这里都可以一网打尽上海大肉粽、蟹粉小笼、盐水鸡、桂花糖藕、小杨生煎、大小馄饨、上海烧麦、香菇菜包、鲜肉小笼等等等等', '福园小吃 （Astoria分店）Bund on Broadway', '推荐程度：****人均：$10-20地址：25-08 Broadway, Astoria, NY 11106电话：718-971-5465营业时间：Sun–Thurs: 11:45AM–11PMFri & Sat: 11:45AM–12AM（$15刀以上Astoria & LIC 免费送餐）', '福园\xa0The Bund （森林小丘分店）', '地址：100-30 Queens Blvd, Forest Hills, NY 11375电话：718-275-8000营业时间：Sun–Mon: 11:30AM–10:30PMFri & Sat: 11:30AM–11PM', '法拉盛订单$50以上免费送法拉盛附近订货电话 718-275-8000长岛市附近订货电话 718-917-5465外卖平台熊猫外卖独家合作Grubhub / Uber Eats纽约全区覆盖', '还有菜包、馄饨、芝麻球、盐水鸡、桂花糖藕欢迎选购！', '福园森林小丘店位于Queens Blvd上，地铁站M/R出来就是，非常方便', 'Astoria分店位于距离法拉盛仅15分钟车程的Astoria，Crescent St与Broadway的交汇处。店面小巧，店里却深藏美味玄机；店面临街，地铁可乘N/W线至Broadway站，周围还有Q102/Q014等多路公交，下车步行3分钟即可到达，交通方便；开车探店可临街停车，停车位充足，十分方便。', '即日起为期三天6/25/20–6/27/20地图粉分享此文到PYQ集赞30即送一个上海鲜肉粽6/25/20–7/15/20地图粉消费满$50即送芝麻球一个以上活动不能同时使用', '随时随地查询更多美食信息', '']"
